,retrain-acc,unlearn-acc,retrain-time,unlearn-time,retrain-f1,unlearn-f1,blpa-acc,blpa-time,blpa-#-shards,bekm-acc,bekm-time,bekm-#-shards
200,0.6996997,0.627627628,7.583399057,2.017702103,0.627893024,0.551437592,0.649446494,26.49861884,17,0.483394834,20.5101974,19
400,0.68018018,0.62012012,1.112323046,1.656670094,0.630044562,0.5445432,0.643911439,39.54381728,20,0.483394834,24.59679341,20
600,0.65015015,0.617117117,1.130772829,2.740872145,0.566839031,0.542653936,0.640221402,32.7053299,20,0.481549815,32.66917872,20
800,0.683183183,0.60960961,1.144728899,2.413396597,0.628519549,0.535404878,0.638376384,42.63737082,20,0.47601476,29.43382096,20
1000,0.689189189,0.599099099,1.385242939,1.912124634,0.639508371,0.528126866,0.638376384,40.30117393,20,0.483394834,29.7187562,20
1200,0.675675676,0.588588589,1.269823074,1.430006742,0.642039784,0.518741331,0.640221402,42.89892435,20,0.483394834,29.55461907,20
1400,0.665165165,0.570570571,1.317083836,2.02958703,0.587559141,0.503760478,0.640221402,44.56695509,20,0.481549815,28.69511986,20
1600,0.678678679,0.567567568,1.387155294,2.439871788,0.628817896,0.500167664,0.636531365,38.69037366,20,0.47601476,27.0205605,20
1800,0.63963964,0.563063063,1.469908953,1.99600482,0.559831581,0.494435093,0.640221402,37.6285181,20,0.474169742,27.39162326,20
2000,0.635135135,0.555555556,1.507326603,2.54229784,0.555614234,0.486989892,0.636531365,37.99384713,20,0.479704797,25.21299028,20