# edges,setting,accuracy
0,Retrain,0.859060403
0,ERAEDGE,0.859060403
100,Retrain,0.845637584
100,ERAEDGE,0.865771812
0,Retrain,0.845637584
0,ERAEDGE,0.845637584
100,Retrain,0.845637584
100,ERAEDGE,0.852348993
0,Retrain,0.83557047
0,ERAEDGE,0.83557047
100,Retrain,0.862416107
100,ERAEDGE,0.842281879
0,Retrain,0.842281879
0,ERAEDGE,0.842281879
100,Retrain,0.845637584
100,ERAEDGE,0.862416107
0,Retrain,0.855704698
0,ERAEDGE,0.855704698
100,Retrain,0.842281879
100,ERAEDGE,0.869127517
0,Retrain,0.845637584
0,ERAEDGE,0.845637584
100,Retrain,0.845637584
100,ERAEDGE,0.852348993
0,Retrain,0.859060403
0,ERAEDGE,0.859060403
100,Retrain,0.83557047
100,ERAEDGE,0.865771812
0,Retrain,0.838926174
0,ERAEDGE,0.838926174
100,Retrain,0.852348993
100,ERAEDGE,0.848993289
0,Retrain,0.852348993
0,ERAEDGE,0.852348993
100,Retrain,0.845637584
100,ERAEDGE,0.862416107
0,Retrain,0.848993289
0,ERAEDGE,0.848993289
100,Retrain,0.832214765
100,ERAEDGE,0.859060403
200,Retrain,0.825503356
400,Retrain,0.845637584
800,Retrain,0.818791946
1000,Retrain,0.83557047
200,Retrain,0.842281879
400,Retrain,0.842281879
800,Retrain,0.845637584
1000,Retrain,0.832214765
200,Retrain,0.845637584
400,Retrain,0.842281879
800,Retrain,0.82885906
1000,Retrain,0.808724832
200,Retrain,0.832214765
400,Retrain,0.852348993
800,Retrain,0.832214765
1000,Retrain,0.83557047
200,Retrain,0.83557047
400,Retrain,0.822147651
800,Retrain,0.825503356
1000,Retrain,0.82885906
200,Retrain,0.82885906
400,Retrain,0.838926174
800,Retrain,0.82885906
1000,Retrain,0.832214765
200,Retrain,0.842281879
400,Retrain,0.83557047
800,Retrain,0.83557047
1000,Retrain,0.838926174
200,Retrain,0.838926174
400,Retrain,0.818791946
800,Retrain,0.838926174
1000,Retrain,0.838926174
200,Retrain,0.832214765
400,Retrain,0.82885906
800,Retrain,0.83557047
1000,Retrain,0.842281879
200,Retrain,0.825503356
400,Retrain,0.832214765
800,Retrain,0.82885906
1000,Retrain,0.822147651
200,ERAEDGE,0.842281879
400,ERAEDGE,0.838926174
800,ERAEDGE,0.842281879
1000,ERAEDGE,0.83557047
200,ERAEDGE,0.838926174
400,ERAEDGE,0.842281879
800,ERAEDGE,0.842281879
1000,ERAEDGE,0.842281879
200,ERAEDGE,0.825503356
400,ERAEDGE,0.818791946
800,ERAEDGE,0.815436242
1000,ERAEDGE,0.815436242
200,ERAEDGE,0.832214765
400,ERAEDGE,0.82885906
800,ERAEDGE,0.832214765
1000,ERAEDGE,0.825503356
200,ERAEDGE,0.845637584
400,ERAEDGE,0.845637584
800,ERAEDGE,0.845637584
1000,ERAEDGE,0.845637584
200,ERAEDGE,0.83557047
400,ERAEDGE,0.83557047
800,ERAEDGE,0.832214765
1000,ERAEDGE,0.832214765
200,ERAEDGE,0.825503356
400,ERAEDGE,0.825503356
800,ERAEDGE,0.822147651
1000,ERAEDGE,0.825503356
200,ERAEDGE,0.818791946
400,ERAEDGE,0.822147651
800,ERAEDGE,0.822147651
1000,ERAEDGE,0.815436242
200,ERAEDGE,0.815436242
400,ERAEDGE,0.812080537
800,ERAEDGE,0.815436242
1000,ERAEDGE,0.812080537
200,ERAEDGE,0.832214765
400,ERAEDGE,0.832214765
800,ERAEDGE,0.82885906
1000,ERAEDGE,0.825503356